run,n_files,type,first_sub_file,last_sub_file,missing_files
209,16,pedestal,1_a,4_d,0
210,28,pedestal,1_a,7_d,0
211,21,pedestal,1_a,6_d,3
212,22,pedestal,1_a,6_c,1
213,36,pedestal,1_a,9_d,0
214,24,pedestal,1_a,6_d,0
215,18,pedestal,1_a,5_d,2
216,16,pedestal,1_a,4_d,0
218,20,pedestal,1_a,5_d,0
219,28,pedestal,1_a,7_d,0
220,16,pedestal,1_a,4_d,0
221,24,pedestal,1_a,6_d,0
222,16,pedestal,1_a,4_d,0
224,16,pedestal,1_a,4_d,0
225,20,pedestal,1_a,5_d,0
226,20,pedestal,1_a,5_d,0
906,24,pedestal,1_a,6_d,0
920,12,pedestal,1_a,3_d,0
921,32,pedestal,1_a,8_d,0
924,20,pedestal,1_a,5_d,0
925,20,pedestal,1_a,5_d,0
954,20,pedestal,1_a,5_d,0
986,36,pedestal,1_a,9_d,0
995,28,pedestal,1_a,7_d,0
1037,32,pedestal,1_a,8_d,0
1075,24,pedestal,1_a,6_d,0
1080,32,pedestal,1_a,8_d,0
1099,28,pedestal,1_a,7_d,0
1127,16,pedestal,1_a,4_d,0
1128,44,pedestal,1_a,11_d,0
1131,16,pedestal,1_a,4_d,0
1133,20,pedestal,1_a,5_d,0
1148,20,pedestal,1_a,5_d,0
1149,28,pedestal,1_a,7_d,0
1162,36,pedestal,1_a,9_d,0
1174,24,pedestal,1_a,6_d,0
1177,28,pedestal,1_a,7_d,0
1178,112,pedestal,1_a,28_d,0
1201,28,pedestal,1_a,7_d,0
1221,16,pedestal,1_a,4_d,0
1223,36,pedestal,1_a,9_d,0
1230,28,pedestal,1_a,7_d,0
1246,20,pedestal,1_a,5_d,0
1257,24,pedestal,1_a,6_d,0
1277,60,pedestal,1_a,15_d,0
1291,28,pedestal,1_a,7_d,0
1296,20,pedestal,1_a,5_d,0
1317,20,pedestal,1_a,5_d,0
1353,60,pedestal,1_a,15_d,0
1354,36,pedestal,1_a,9_d,0
1357,30,pedestal,1_a,8_d,2
1358,32,pedestal,1_a,8_d,0
1359,4,pedestal,1_a,1_d,0
1360,24,pedestal,1_a,6_d,0
1361,24,pedestal,1_a,6_d,0
1370,32,pedestal,1_a,8_d,0
1398,20,pedestal,1_a,5_d,0
